id,bio,api_out,high_school,ent_year,grad_year
1982-2002 | Chicago, Ill.
2002-2005 | Consultant and businesswoman
2005-2011 | Congress
2011-2021 | Unsuccessful candidate for re-election","Maine East High School, Park Ridge, Ill.",1976.0,1980.0
J000287,"A Representative from Louisiana; born in Baton Rouge, East Baton Rouge Parish, La., June 10, 1971; graduated from Baton Rouge High School, Baton Rouge, La., 1988; B.S., Brown University, Providence, R.I., 1991; M.Litt., Oxford University, Oxford, England, 1994; secretary, Louisiana department of health and hospitals 1996-1998; appointed executive director of the National Bipartisan Commission on the Future of Medicare, 1998; president, University of Louisiana system, 1999; appointed assistant secretary for planning and evaluation, Department of Health and Human Services by President George W. Bush on March 7, 2001; unsuccessful candidate for Governor of Louisiana in 2003; elected as a Republican to the One Hundred Ninth and to the succeeding Congress until his resignation on January 14, 2008 (January 3, 2005-January 14, 2008); Governor of Louisiana, 2008-2016.","Time Period | Location
--- | ---
1971-1988 | Baton Rouge, East Baton Rouge Parish, La.
1988-1991 | Providence, R.I.
1991-1994 | Oxford, England
1994-1996 | Baton Rouge, East Baton Rouge Parish, La.
1996-1998 | Baton Rouge, East Baton Rouge Parish, La.
1998-1999 | Washington D.C.
1999-2001 | Louisiana
2001-2003 | Washington D.C.
2003-2005 | Louisiana
2005-2008 | Congress
2008-2016 | Louisiana","Baton Rouge High School, Baton Rouge, La.",1984.0,1988.0
B001255,"A Representative from Louisiana; born in New Orleans, Orleans Parish, La., February 21, 1956; graduated Cathedral Carmel High School, Lafayette, La.; B.S., University of Southwestern Louisiana, Lafayette, La., 1978; M.D., Louisiana State University School of Medicine, New Orleans, La., 1982; surgeon; elected as a Republican to the One Hundred Ninth and to the five succeeding Congresses (January 3, 2005-January 3, 2017); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016, but was an unsuccessful candidate for election to the United States Senate.","Time Period | Location
--- | ---
1956-1974 | New Orleans, Orleans Parish, La.
1974-1978 | Lafayette, La.
1978-1982 | New Orleans, La.
1982-2005 | Surgeon (Location not specified)
2005-2017 | Congress
2016 | Candidate for United States Senate (Location not specified)","Cathedral Carmel High School, Lafayette, La.",,
S001161,"A Representative from Michigan; born in Battle Creek, Calhoun County, Mich., November 15, 1937; graduated from Battle Creek Central High School, Battle Creek, Mich.; B.A., University of Michigan, 1959; M.D., Wayne State University, Detroit, Mich., 1964; physician; United States Navy, 1965-1967; served in the Central Intelligence Agency, 1968-1970; Battle Creek City Commissioner, 1979-1985; mayor of Battle Creek, Mich., 1985-1987; member of the Michigan state senate, 1987-2002; unsuccessful candidate for nomination to the United States House of Representatives in 1992; elected as a Republican to the One Hundred Ninth Congress (January 3, 2005-January 3, 2007); unsuccessful candidate for nomination to the One Hundred Tenth Congress in 2006.","Time Period | Location
--- | ---
1937-1955 | Battle Creek, Calhoun County, Mich.
1955-1959 | University of Michigan
1959-1964 | Detroit, Mich.
1964-1965 | Physician
1965-1967 | United States Navy
1968-1970 | Central Intelligence Agency
1979-1985 | Battle Creek, Mich.
1985-1987 | Battle Creek, Mich.
1987-2002 | Michigan state senate
2005-2007 | Congress","Battle Creek Central High School, Battle Creek, Mich.",,
C001061,"A Representative from Missouri; born in Waxahachie, Ellis County, Tex., October 26, 1944; graduated from Booker T. Washington High School, Wichita Falls, Tex., 1963; B.S., Prairie View A&M University, Prairie View, Tex., 1972; M.Div., St. Paul School of Theology, Kansas City, Mo., 1974; pastor; radio show host; member of the Kansas City, Mo. city council, 1979-1991; Mayor of Kansas City, Mo., 1991-1999; elected as a Democrat to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1944-1963 | Wichita Falls, Tex.
1963-1972 | Prairie View, Tex.
1972-1974 | Kansas City, Mo.
1974-2005 | Kansas City, Mo.
2005-present | Congress","Booker T. Washington High School, Wichita Falls, Tex.",1959.0,1963.0
H001038,"a Representative from New York; born in Buffalo, Erie County, N.Y., October 6, 1959; graduated from South Park High School, Buffalo, N.Y., 1978; B.A., Buffalo State College, Buffalo, N.Y., 1984; M.A., Buffalo State College, Buffalo, N.Y., 1985; M.P.A., Harvard University, Cambridge, Mass., 1996; lecturer, Buffalo State College, Buffalo, N.Y.; member of the Buffalo, N.Y. common council, 1988-1994; member of the New York state assembly, 1999-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1959-1978 | Buffalo, Erie County, N.Y.
1978-1984 | Buffalo, N.Y.
1984-1985 | Buffalo, N.Y.
1985-1996 | Buffalo, N.Y.
1996-1998 | Cambridge, Mass.
1998-2005 | Buffalo, N.Y.
1988-1994 | Buffalo, N.Y.
1999-2004 | New York
2005-Present | Congress","South Park High School, Buffalo, N.Y.",1974.0,1978.0
F000450,"a Representative from North Carolina; born in New York, New York County, N.Y., June 29, 1943; graduated from Crossnore High School, Crossnore, N.C., 1961; A.B., University of North Carolina, Chapel Hill, N.C., 1968; M.A.C.T., University of North Carolina, Chapel Hill, N.C., 1972; Ed.D., University of North Carolina, Greensboro, N.C., 1985; instructor, Caldwell Community College, Hudson, N.C.; instructor, Appalachian State University, Boone, N.C.; assistant dean, Appalachian State University, Boone, N.C.; president, Mayland Community College, Spruce Pine, N.C., 1987-1994; landscape nursery owner; deputy secretary for management, North Carolina Department of Administration; member of the Watauga County, N.C., board of education, 1976-1988; member of the North Carolina state senate, 1994-2004; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, Committee on Education and the Workforce (One Hundred Fifteenth and One Hundred Eighteenth Congresses).","Time Period | Location
--- | ---
1943-1961 | New York, New York County, N.Y.
1961-1968 | Chapel Hill, N.C.
1968-1972 | Chapel Hill, N.C.
1972-1985 | Greensboro, N.C.
1985-1987 | Hudson, N.C.
1987-1994 | Boone, N.C.
1994-2004 | Spruce Pine, N.C.
2004-Present | North Carolina
2005-Present | Congress","Crossnore High School, Crossnore, N.C.",1957.0,1961.0
M001156,"a Representative from North Carolina; born in Charlotte, Mecklenburg County, N.C., October 22, 1975; graduated Ashbrook High School, Gastonia, N.C., 1994; attended North Carolina State University, Raleigh, N.C.; B.A., Belmont Abbey College, Belmont, N.C., 1999; realtor; appointed special assistant to the United States Secretary of Labor by President George W. Bush in 2001; member of the North Carolina state house of representatives, 2002-2004; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, Committee on Financial Services (One Hundred Eighteenth Congress).","Time Period | Location
--- | ---
1975-1994 | Charlotte, Mecklenburg County, N.C.
1994-1996 | Raleigh, N.C.
1996-1999 | Belmont, N.C.
1999-2001 | Realtor
2001-2002 | Washington D.C. (U.S. Secretary of Labor)
2002-2004 | North Carolina
2005-Present | Congress","Ashbrook High School, Gastonia, N.C.",1990.0,1994.0
D000604,"A Representative from Pennsylvania; born in Allentown, Lehigh County, Pa., May 24, 1960; graduated from William Allen High School, Allentown, Pa., 1978; B.A., Pennsylvania State University, University Park, Pa., 1982; M.P.A., Lehigh University, Bethlehem, Pa., 1993; staff, United States Representative Donald Ritter of Pennsylvania; college administrator; sales representative; hotel clerk; member of the Pennsylvania state house of representatives, 1991-1998; member of the Pennsylvania state senate, 1999-2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses until his resignation on May 12, 2018 (January 3, 2005-May 12, 2018); chair, Committee on Ethics (One Hundred Fourteenth Congress).","Time Period | Location
--- | ---
1960-1978 | Allentown, Lehigh County, Pa.
1978-1982 | University Park, Pa.
1982-1993 | Various locations (staff, sales representative, hotel clerk)
1993-1998 | Pennsylvania (state house of representatives)
1999-2004 | Pennsylvania (state senate)
2005-2018 | Congress","William Allen High School, Allentown, Pa.",1974.0,1978.0
G000552,"A Representative from Texas; born in Pittsburg, Camp County, Tex., August 18, 1953; graduated from Mount Pleasant High School, Mount Pleasant, Tex., 1971; B.A., Texas A&M University, College Station, Tex., 1975; J.D., Baylor University, Waco, Tex., 1977; United States Army, 1978-1982; lawyer, private practice; district judge, Smith County, Tex., 1992-2002; chief justice, Texas state twelfth circuit court of appeals, 2002-2003; elected as a Republican to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-January 3, 2023); was not a candidate for reelection to the One Hundred Eighteenth Congress in 2022, but was an unsuccessful candidate for nomination for Texas state attorney general.","Time Period | Location
--- | ---
1953-1969 | Pittsburg, Camp County, Tex.
1969-1971 | Mount Pleasant, Tex.
1971-1975 | College Station, Tex.
1975-1977 | Waco, Tex.
1978-1982 | (U.S. Army)
1982-1992 | Private practice, Tex.
1992-2002 | Smith County, Tex.
2002-2003 | Texas state twelfth circuit court of appeals
2005-2023 | Congress
2023-Present | Texas","Mount Pleasant High School, Mount Pleasant, Tex.",1967.0,1971.0
C001062,"A Representative from Texas; born in Borger, Hutchinson County, Tex., June 11, 1948; graduated from Odessa Permian High School, Odessa, Tex., 1966; B.B.A., Texas A&M University-Commerce, Commerce, Tex., 1970; United States Army, 1970-1972; certified public accountant; bank executive; member of the Midland, Tex., school board, 1985-1988; unsuccessful candidate for special election to the One Hundred Eighth Congress in 2003; elected as a Republican to the One Hundred Ninth and to the seven succeeding Congresses (January 3, 2005-January 3, 2021); chair, Committee on Ethics (One Hundred Thirteenth Congress); chair, Committee on Agriculture (One Hundred Fourteenth and One Hundredth Fifteenth Congresses); was not a candidate for reelection to the One Hundred Seventeenth Congress in 2020.","Time Period | Location
--- | ---
1948-1966 | Borger, Hutchinson County, Tex.
1966-1970 | Commerce, Tex.
1970-1972 | United States Army
1972-1985 | Midland, Tex.
1985-1988 | Midland, Tex.
2005-2021 | Congress","Odessa Permian High School, Odessa, Tex.",1962.0,1966.0
C001063,"A Representative from Texas; born in Laredo, Webb County, Tex., September 19, 1955; graduated from J.W. Nixon High School, Laredo, Tex., 1974; A.A., Laredo Community College, Laredo, Tex., 1976; B.S., Georgetown University, Washington, D.C., 1978; J.D., University of Texas, Austin, Tex., 1981; M.A., Texas A&M International University, Laredo, Tex., 1982; Ph.D., University of Texas, Austin, Tex., 1998; lawyer, private practice; member of the Texas state house of representatives, 1987-2001; unsuccessful candidate for election to the One Hundred Eighth Congress in 2002; Texas secretary of state, 2001; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1955-1974 | Laredo, Webb County, Tex.
1974-1976 | Laredo, Tex.
1976-1978 | Washington, D.C.
1978-1981 | Austin, Tex.
1981-1982 | Laredo, Tex.
1982-1998 | Austin, Tex.
1998-2001 | Private practice
1987-2001 | Texas
2001 | Texas
2005-present | Congress","J.W. Nixon High School, Laredo, Tex.",1970.0,1974.0
D000605,"A Representative from Virginia; born in Elyria, Lorain County, Ohio, November 20, 1949; graduated from Elyria High School, Elyria, Ohio, 1967; realtor; business owner; member of the Virginia state house of delegates, 1996-2004; elected as a Republican to the One Hundred Ninth and to the succeeding Congress (January 3, 2005-January 3, 2009); unsuccessful candidate for reelection to the One Hundred Eleventh Congress in 2008.","Time Period | Location
--- | ---
1949-1967 | Elyria, Lorain County, Ohio
1967-1996 | Virginia (as a realtor and business owner)
1996-2004 | Virginia (as a member of the state house of delegates)
2005-2009 | Congress
2009-Present | Virginia","Elyria High School, Elyria, Ohio",1963.0,1967.0
R000578,"A Representative from Washington; born in Detroit Lakes, Becker County, Minn., August 29, 1950; graduated, Kent Meridian High School, Kent, Wash., 1968; A.A., Concordia Lutheran College, Portland, Oreg., 1970; United States Air Force Reserve, 1971-1976; United States Air Force, 1976; police officer, King County, Wash., 1972-1997; sheriff, King County, Wash., 1997- 2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses (January 3, 2005-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018.","Time Period | Location
--- | ---
1950-1968 | Detroit Lakes, Becker County, Minn.
1968-1970 | Kent, Wash.
1970-1971 | Portland, Oreg.
1971-1976 | United States Air Force Reserve
1976 | United States Air Force
1972-1997 | King County, Wash.
1997-2004 | King County, Wash.
2005-2019 | Congress","Kent Meridian High School, Kent, Wash.",1964.0,1968.0
M001160,"A Representative from Wisconsin; born in Racine, Racine County, Wis., April 18, 1951; graduated from Northern Division High School, Milwaukee, Wis., 1969; B.A., Marquette University, Milwaukee, Wis., 1978; housing officer, Wisconsin housing and development authority; member of the Wisconsin state assembly, 1989-1992; member of the Wisconsin state senate, 1993-2004, president pro tempore, 1997-1998; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1951-1969 | Racine, Racine County, Wis.
1969-1978 | Milwaukee, Wis.
1978-1989 | Wisconsin (housing officer)
1989-1992 | Wisconsin state assembly
1993-2004 | Wisconsin state senate
2005-present | Congress","Northern Division High School, Milwaukee, Wis.",1965.0,1969.0
S001165,"A Representative from New Jersey; born in Bejucal, Cuba, January 26, 1951; graduated from Memorial High School, West New York, N.J., 1970; B.A., St. Peter's College, Jersey City, N.J., 1974; M.A., Middlebury College, Middlebury, Vt., 1985; businessman; teacher; unsuccessful candidate for election to the One Hundredth Congress in 1986; Mayor of West New York, N.J., 1995-2007; member of the New Jersey state general assembly, 2000-2006, speaker, 2002-2006; elected as a Democrat to the One Hundred Ninth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Robert Menendez, and reelected to the eight succeeding Congresses (November 7, 2006-January 3, 2023) was not a candidate for reelection to the One Hundred Eighteenth Congress in 2022.","Time Period | Location
--- | ---
1951-1969 | Bejucal, Cuba
1969-1970 | West New York, N.J.
1970-1974 | Jersey City, N.J.
1974-1985 | Middlebury, Vt.
1985-1995 | Businessman and teacher
1995-2007 | West New York, N.J.
2000-2006 | New Jersey
2006-2023 | Congress","Memorial High School, West New York, N.J.",1966.0,1970.0
D000327,"A Representative from Washington; born in Bremerton, Kitsap County, Wash., December 16, 1940; graduated from West Bremerton High School, Bremerton, Wash., 1959; B.A., University of Washington, Seattle, Wash., 1963; J.D., University of Washington School of Law, Seattle, Wash., 1968; lawyer, private practice; staff, United States Senator Warren G. Magnuson of Washington, 1968-1976; elected as a Democrat to the Ninety-fifth and to the seventeen succeeding Congresses (January 3, 1977-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012.","Time Period | Location
--- | ---
1940-1959 | Bremerton, Kitsap County, Wash.
1959-1963 | Seattle, Wash.
1963-1968 | Seattle, Wash.
1968-1976 | Washington, D.C. (staff for Senator Warren G. Magnuson)
1977-2013 | Congress (Washington, D.C.)
2013-Present | Likely Washington State","West Bremerton High School, Bremerton, Wash.",1955.0,1959.0
K000172,"a Representative from Michigan; born in Flint, Genesee County, Mich., September 16, 1929; graduated from St. Mary's High School, Flint, Mich., 1947; B.A., Sacred Heart Seminary, Detroit, Mich., 1952; teacher's certificate, University of Detroit, Detroit, Mich., 1955; graduate work, University of Peshawar, Pakistan, 1958-1959; M.A., University of Michigan, Ann Arbor, Mich., 1961; teacher; member, Michigan state house of representatives, 1965-1974; member, Michigan state senate, 1975-1976; delegate to Michigan state Democratic conventions, 1956-1977; delegate to Democratic National Conventions, 1968 and 1984; elected as a Democrat to the Ninety-fifth and to the seventeen succeeding Congresses (January 3, 1977-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012; died on October 13, 2021.","Time Period | Location
--- | ---
1929-1947 | Flint, Genesee County, Mich.
1947-1952 | Detroit, Mich.
1952-1955 | Detroit, Mich.
1958-1959 | Peshawar, Pakistan
1959-1961 | Ann Arbor, Mich.
1961-1965 | Teaching
1965-1974 | Michigan
1975-1976 | Michigan
1977-2013 | Congress
2013-2021 | Michigan","St. Mary's High School, Flint, Mich.",1943.0,1947.0
M000133,"A Senator and a Representative from Massachusetts; born in Malden, Middlesex County, Mass., July 11, 1946; attended Immaculate Conception Grammar School, Malden, Mass.; graduated from Malden Catholic High School, Malden, Mass., 1964; B.A., Boston College, Chestnut Hill, Mass., 1968; J.D., Boston College Law School, Chestnut Hill, Mass., 1972; lawyer, private practice; United States Army Reserve, 1968-1973; member of the Massachusetts state house of representatives, 1973-1976; elected as a Democrat to the Ninety-fourth Congress, by special election to fill the vacancy caused by the death of United States Representative Torbert H. Macdonald; reelected to the nineteen succeeding Congresses, and served from November 2, 1976, to July 15, 2013, when he resigned to become a U.S. senator; elected as a Democrat to the U.S. Senate in a special election on June 25, 2013, to fill the vacancy caused by the resignation of John F. Kerry, a seat subsequently held by appointed senator William Cowan, and took the oath of office on July 16, 2013; reelected in 2014, and again in 2020 for the term ending January 3, 2027.","Time Period | Location
--- | ---
1946-1964 | Malden, Middlesex County, Mass.
1964-1968 | Chestnut Hill, Mass.
1968-1972 | Chestnut Hill, Mass.
1972-1973 | Private practice
1973-1976 | Massachusetts State House
1976-2013 | U.S. Congress
2013-2027 | U.S. Senate","Malden Catholic High School, Malden, Mass.",1960.0,1964.0
R000011,"A Representative from West Virginia; born in Beckley, Raleigh County, W.Va., May 20, 1949; graduated from Woodrow Wilson High School, Beckley, W.Va.; A.B., Duke University, Durham, N.C., 1971; attended graduate school, George Washington University, Washington, D.C., 1972; staff, Office of the Majority Whip, United States Senate, 1971-1974; business owner; delegate, Democratic National Conventions, 1972 and 1976; elected as a Democrat to the Ninety-fifth and to the eighteen succeeding Congresses (January 3, 1977-January 3, 2015); unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in 2014; chair, Committee on Natural Resources (One Hundred Tenth and One Hundred Eleventh Congresses).","Time Period | Location
--- | ---
1949-1967 | Beckley, Raleigh County, W.Va.
1967-1971 | Durham, N.C.
1971-1972 | Washington, D.C.
1972-1974 | Office of the Majority Whip, United States Senate
1974-1977 | Business owner
1977-2015 | Congress","Woodrow Wilson High School, Beckley, W.Va.",,
S000465,"A Representative from Missouri; born in Lexington, Lafayette County, Mo., December 20, 1931; attended the Wentworth Military Academy, Lexington, Mo.; graduated from Lexington High School, Lexington, Mo., 1949; attended the University of Edinburgh, Scotland, 1953; A.B., University of Missouri, Columbia, Mo., 1953; LL.B., University of Missouri, Columbia, Mo., 1956; lawyer, private practice; Lafayette County, Mo., prosecuting attorney, 1957-1960; special assistant attorney general, Missouri state attorney general, 1961-1963; member of the Missouri state senate, 1971-1977; elected as a Democrat to the Ninety-fifth and to the sixteen succeeding Congresses (January 3, 1977-January 3, 2011); chair, Committee on Armed Services (One Hundred Tenth and One Hundred Eleventh Congresses); unsuccessful candidate for reelection to the One Hundred Twelfth Congress in 2010; died in Arlington, Va., October 28, 2013; interment at Machpelah Cemetery, Lexington, Mo.","Time Period | Location
--- | ---
1931-1949 | Lexington, Lafayette County, Mo.
1949-1953 | Edinburgh, Scotland
1953-1956 | Columbia, Mo.
1956-1957 | Private practice
1957-1960 | Lafayette County, Mo.
1961-1963 | Missouri
1971-1977 | Missouri State Senate
1977-2011 | Congress
2011-2013 | Arlington, Va.","Lexington High School, Lexington, Mo.",1945.0,1949.0
A000361,"A Representative from Louisiana; born in Quitman, Jackson Parish, La., December 5, 1946; graduated from Jonesboro-Hodge High School, Jonesboro, La., 1964; graduated, University of Louisiana-Monroe, Monroe, La.; United States Air Force reserve, 1965-1971; insurance agent; businessman; member of the Louisiana state house of representatives, 1987-2002; elected as a Democrat to the One Hundred Eighth Congress; changed party affiliation from a Democrat to a Republican on August 9, 2004, elected as a Republican to the One Hundred Ninth and to the four succeeding Congresses until his resignation on September 27, 2013 (January 3, 2003- September 27, 2013).","Time Period | Location
--- | ---
1946-1964 | Quitman, Jackson Parish, La.
1964-1968 | Monroe, La.
1965-1971 | United States Air Force reserve
1971-1987 | Louisiana (as an insurance agent and businessman)
1987-2002 | Louisiana state house of representatives
2003-2013 | Congress","Jonesboro-Hodge High School, Jonesboro, La.",1960.0,1964.0
L000274,"a Representative from California; born in Seattle, King County, Wash., October 21, 1934; graduated from San Bernardino High School, San Bernardino, Calif., 1952; B.A., University of California, Los Angeles, Calif., 1956; Coro Foundation, 1956-1957; insurance businessman; member, San Bernardino School Board, San Bernardino, Calif., 1964-1968; staff, United States Representative Jerry Pettis of California, 1966; member of the California state assembly, 1969-1978; elected as a Republican to the Ninety-sixth and to the fifteen succeeding Congresses (January 3, 1979-January 3, 2013); chair, House Republican Conference (One Hundred First and One Hundred Second Congresses); chair, Committee on Appropriations (One Hundred Ninth Congress); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012; died on July 15, 2021.","Time Period | Location
--- | ---
1934-1952 | Seattle, King County, Wash.
1952-1956 | San Bernardino, Calif.
1956-1957 | Los Angeles, Calif.
1957-1964 | San Bernardino, Calif. (Insurance Business)
1964-1968 | San Bernardino, Calif. (School Board)
1966-1969 | California (Staff of Jerry Pettis)
1969-1978 | California (State Assembly)
1979-2013 | California (Congress)
2013-2021 | California","San Bernardino High School, San Bernardino, Calif.",1948.0,1952.0
L000517,"A Representative from California; born in Long Beach, Los Angeles County, Calif., September 22, 1946; attended St. Barnabas School, Long Beach, 1960; graduated from St. Anthony High School, Long Beach, 1964; A.B., Notre Dame University, South Bend, Ind., 1968; attended University of Southern California Law Center, Los Angeles, 1968-1969; J.D., Georgetown University Law Center, Washington, D.C., 1971; admitted to the California bar in 1972; lawyer, private practice; staff for United States Senators George Murphy, California and Bill Brock, Tennessee; delegate, California State Republican conventions, 1974-1979; cochairman, National Congressional Council, 1977-1978; elected as a Republican to the Ninety-sixth and to the four succeeding Congresses (January 3, 1979-January 3, 1989); was not a candidate for renomination in 1988 to the One Hundred First Congress; elected California State attorney general in 1990 for the four-year term beginning in January 1991 and reelected in 1994; unsuccessful candidate for governor in 1998; elected as a Republican to the One Hundred Ninth and to the three succeeding Congresses (January 3, 2005-January 3, 2013); chair, Committee on House Administration (One Hundred Twelfth Congress); unsuccessful candidate for reelection to the One Hundred Thirteenth Congress in 2012.","Time Period | Location
--- | ---
1946-1960 | Long Beach, Los Angeles County, Calif.
1960-1964 | St. Barnabas School, Long Beach, Calif.
1964-1968 | Notre Dame University, South Bend, Ind.
1968-1969 | University of Southern California Law Center, Los Angeles, Calif.
1969-1971 | Georgetown University Law Center, Washington, D.C.
1971-1979 | Private practice and staff for United States Senators George Murphy, California and Bill Brock, Tennessee
1979-1989 | Congress
1990-1998 | California State attorney general
1998-2005 | Unsuccessful candidate for governor
2005-2013 | Congress
2013-2021 | Unsuccessful candidate for reelection to the One Hundred Thirteenth Congress in 2012.","St. Anthony High School, Long Beach",1960.0,1964.0
S000005,"A Representative from Minnesota; born in Crosby, Divide County, N.D., February 28, 1938; graduated from Alkabo High School, Alkabo, N.D., 1955; B.A., Augsburg College, Minneapolis, Minn., 1959; graduate studies, University of Minnesota, Minneapolis, Minn., 1960; member of the Minnesota state house of representatives, 1960-1978, minority leader, 1969-1972, speaker of the house, 1973-1978; presidential appointee on the National Advisory Commission on Intergovernmental Relations; president, National Conference of State Legislatures; president, National Legislative Conference; elected as a Democrat to the Ninety-sixth and to the thirteen succeeding Congresses (January 3, 1979-January 3, 2007); chair, Committee on the Budget (One Hundred Third Congress); not a candidate for reelection to the One Hundred Tenth Congress in 2006; died on March 13, 2016, in Minneapolis, Minn.; interment at Lakewood Cemetery, Minneapolis, Minn.","Time Period | Location
--- | ---
1938-1955 | Crosby, Divide County, N.D.
1955-1959 | Minneapolis, Minn. (Augsburg College)
1959-1960 | Minneapolis, Minn. (University of Minnesota)
1960-1978 | Minnesota (State House of Representatives)
1979-2007 | Congress
2007-2016 | Minneapolis, Minn.","Alkabo High School, Alkabo, N.D.",1951.0,1955.0
